nom,longitude,latitude,fonctionnel,secteur,forme,categorie,type,couleur,image,date_creation,zone,route,parking,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
panneau 135,1.212438,6.185363,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302207.8215039424 684027.5757838109)
panneau 136,1.212401,6.185416,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302203.6972561305 684033.471206668)
panneau 137,1.212261,6.185331,True,Campus Nord,Cercle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302188.1953483636 684024.1435959904)
panneau 138,1.212249,6.185415,True,Campus Nord,Cercle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302186.9380228699 684033.3782599414)
panneau 139,1.209643,6.187795,True,Campus Nord,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (301899.3699061171 684297.6107282276)
Panneau ,1.21461,6.175953,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302444.6833591778 682986.0690402959)
Panneau ,1.214705,6.175834,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302455.2031363711 682972.8760465765)
Panneau ,1.214661,6.174758,True,Campus Sud,Cercle,Routier,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302449.92048185633 682853.8427994985)
Panneau ,1.214323,6.174754,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302412.4938019315 682853.5657198037)
Panneau ,1.213545,6.175222,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302326.56434122554 682905.6044819201)
Panneau ,1.213528,6.174724,True,Campus Sud,Cercle,Routier,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302324.51329736435 682850.5075145719)
Panneau ,1.213333,6.174664,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302302.89518566045 682844.0083694042)
Panneau ,1.213977,6.175419,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302374.4262800807 682927.2226770753)
Panneau 114,1.211606,6.184489,True,Campus Nord,Carré,Routier,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302115.4406606294 683931.2898685262)
Panneau 113,1.211696,6.184359,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302125.3246528676 683916.7921735947)
Panneau 108,1.211518,6.184505,True,Campus Nord,Carré,Routier,indication,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302105.7072911761 683933.0412586684)
Panneau 105,1.211633,6.185035,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302118.59427422937 683991.653018624)
Panneau 104,1.211444,6.185023,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302097.6885145795 683990.3614811637)
Panneau 104,1.211342,6.184743,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (302086.24167584494 683959.4657350202)
Panneau 102,1.210507,6.185493,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (301994.1709419492 684042.631884637)
Panneau 102,1.210557,6.185085,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:09,,2024-07-30 12:12:09,POINT (301999.48140461225 683997.5450764645)
Panneau ,1.219058,6.171957,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302935.5654308295 682542.5284328316)
Panneau ,1.219118,6.171953,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302942.1818094352 682542.0762421188)
Panneau ,1.210007,6.187641,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (301939.5516062203 684280.4046728843)
Panneau ,1.210111,6.18725,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (301950.9893026062 684237.1978248853)
Panneau ,1.218562,6.172078,True,Campus Sud,Triangle,Routier,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302880.6945995682 682556.0909358638)
Panneau ,1.218895,6.171738,True,Campus Sud,Triangle,Routier,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302917.4644986039 682518.3651258048)
Panneau ,1.218881,6.17173,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302915.92273476865 682517.4159373647)
Panneau ,1.214465,6.176426,True,Campus Sud,Rectangle,Informationel,Obligation,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302428.88682632556 683038.4494864838)
Panneau ,1.214103,6.176636,True,Campus Sud,Rectangle,Informationel,Obligation,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302388.9072264641 683061.7554999914)
Panneau ,1.213295,6.177403,True,Campus Sud,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302299.6967995379 683146.9325337232)
Panneau ,1.213124,6.177937,True,Campus Sud,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302280.9842384814 683206.0191436373)
Panneau ,1.212724,6.177557,True,Campus Sud,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302236.5595984925 683164.1690754523)
Panneau ,1.212748,6.177856,True,Campus Sud,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302239.3879439498 683197.217038766)
Panneau ,1.212461,6.177622,True,Campus Sud,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302207.4494549348 683171.4943498154)
Panneau ,1.2132,6.176637,True,Campus Sud,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302288.90476025443 683062.2883032793)
Panneau ,1.218782,6.171005,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302904.74081211304 682437.2617214065)
Panneau ,1.218782,6.170864,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302904.60044693877 682421.7287834523)
Panneau ,1.219187,6.170506,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302949.35363148665 682381.9640547119)
Panneau ,1.219185,6.17048,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302949.08943438507 682379.0604798439)
Panneau ,1.219486,6.170064,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302982.21363234293 682332.9564665222)
Panneau ,1.219606,6.170031,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302995.4920105662 682329.2485283491)
Panneau ,1.219718,6.169672,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (303007.8034842849 682289.5858008837)
Panneau ,1.21972,6.169328,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (303007.9076078386 682251.4601286027)
Panneau ,1.219097,6.169363,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302938.91734023 682255.6336554834)
Panneau ,1.218884,6.169273,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302915.34218369494 682245.7674101838)
Panneau ,1.218714,6.168668,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302896.32772370323 682178.8858193093)
Panneau ,1.215851,6.168155,True,Campus Sud,Cercle,Informationel,Obligation,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302579.17114014365 682123.199464339)
Panneau ,1.217244,6.168417,True,Campus Sud,Cercle,Routier,Obligation,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302733.5334093607 682151.5996536432)
Panneau ,1.217227,6.168342,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302731.60654861794 682143.3953954027)
Panneau ,1.217269,6.168184,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302736.2202783558 682125.9178452406)
Panneau ,1.211185,6.182612,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302068.1079853647 683723.7704299177)
Panneau ,1.210725,6.18262,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302017.1959372932 683724.8633385523)
Panneau ,1.210887,6.182115,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:10,,2024-07-30 12:12:10,POINT (302034.9021513178 683668.9521898812)
Panneau ,1.21114,6.18195,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302062.88102924195 683650.6095475261)
Panneau ,1.212087,6.176949,True,Campus Sud,Rectangle,Informationel,Obligation,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302165.80822953547 683097.1540731649)
Panneau ,1.211746,6.177085,True,Campus Sud,Rectangle,Informationel,Obligation,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302128.18766674126 683112.2796239613)
Panneau 101,1.21026,6.186902,True,Campus Nord,Cercle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301967.3138191037 684198.5700438775)
Panneau ,1.210154,6.186907,True,Campus Nord,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301955.62053456786 684199.2268771153)
Panneau ,1.210277,6.186608,True,Campus Nord,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301969.1458632115 684166.1315426402)
Panneau ,1.210105,6.186467,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301950.00338785205 684150.5201774789)
Panneau ,1.209782,6.186523,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301914.2365530823 684156.907816829)
Panneau ,1.210649,6.185889,True,Campus Nord,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302009.9784319133 684086.4005664565)
Panneau ,1.210747,6.186947,True,Campus Nord,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302021.19366906316 684203.3915901168)
Panneau ,1.210427,6.186524,True,Campus Nord,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301985.7093251742 684156.7643979393)
Panneau ,1.210324,6.186463,True,Campus Nord,Cercle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301974.2532187372 684150.0450141705)
Ul_panneau,1.20992,6.184162,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301928.6373788954 683895.6680283435)
Ul_panneau,1.209723,6.183813,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301906.75347815617 683857.1609589756)
Ul_panneau,1.208698,6.184191,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301793.37596894725 683899.3917240317)
Ul_panneau,1.208898,6.183621,True,Campus Nord,Triangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301815.3349713816 683836.2949720501)
Ul_panneau,1.208027,6.183865,True,Campus Nord,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301719.0469198 683863.6073539834)
Ul_panneau,1.207743,6.183891,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301687.6441119848 683866.5621827239)
Ul_panneau,1.208079,6.183294,True,Campus Nord,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301724.614003898 683800.4142713367)
Ul_panneau,1.208494,6.183422,True,Campus Nord,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301770.52621954866 683814.3950236153)
Ul_panneau,1.208958,6.183696,True,Campus Nord,Triangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301821.96949764236 683844.507700806)
Ul_panneau,1.208963,6.183703,True,Campus Nord,Triangle,Routier,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301822.539911867 683845.2777487264)
Ul_panneau,1.208877,6.18233,True,Campus Nord,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (301812.541775701 683693.4944922995)
Rue kossi KEKEH,1.214987,6.174713,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302486.03340053227 682848.7592506026)
Panneau d'information ,1.213677,6.174456,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302340.85776469664 682820.9000625954)
Panneau ,1.214837,6.173312,True,Campus Sud,Rectangle,Routier,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302468.91539736255 682693.954371663)
Panneau ,1.214483,6.173277,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302429.65718743444 682690.142606507)
Panneau ,1.213205,6.173181,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302288.1589870122 682680.052763789)
Panneau ,1.213092,6.173616,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302275.7924055052 682728.1836771797)
Panneau ,1.213312,6.173736,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:11,,2024-07-30 12:12:11,POINT (302300.1916668808 682741.3568726273)
Panneau ,1.213437,6.173929,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302314.1618676104 682762.662602444)
Panneau ,1.213674,6.174037,True,Campus Sud,Hec/Hex/gone,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302340.44387953286 682774.507858121)
Panneau ,1.21238,6.174486,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302197.31368804636 682824.6627895286)
Panneau ,1.21236,6.174453,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302195.0931747133 682821.0021074517)
Panneau ,1.212354,6.173734,True,Campus Sud,Triangle,Routier,Danger,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302194.2324037596 682741.535474805)
Panneau ,1.212371,6.1732,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302195.886265066 682682.4471293461)
Panneau ,1.214319,6.176889,True,Campus Sud,Rectangle,Informationel,Interdiction,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302412.8965498905 683089.7058249067)
Panneau ,1.213254,6.178517,True,Campus Sud,Triangle,Routier,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302295.6366968589 683270.1070126625)
Panneau ,1.2141,6.173164,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302387.26641119714 682677.8685084091)
Panneau poubelle ,1.214147,6.172957,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302392.4259624509 682654.9374004751)
Panneau poubelle ,1.21295,6.172635,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302259.7772769476 682619.7190556744)
Panneau poubelle ,1.212955,6.172269,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302260.1489922204 682579.2081097628)
Panneau poubelle ,1.213328,6.171932,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302301.35606836807 682541.8170620168)
Panneau d'information ,1.215785,6.17384,True,Campus Sud,Rectangle,Routier,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302574.01309554535 682751.9354618734)
Panneau ,1.216596,6.16825,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302661.6931426602 682133.4565654397)
Panneau ,1.214096,6.170135,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302385.71530182636 682342.8645953002)
Panneau ,1.214323,6.169792,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302410.6605714683 682304.7860939176)
Panneau ,1.215361,6.16878,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302525.2041102279 682192.457805678)
panneau 119,1.210349,6.186698,True,Campus Nord,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (301977.11725483387 684175.9718545957)
Panneau dos ,1.209656,6.187034,True,Campus Nord,Triangle,Routier,Danger,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (301900.5214191158 684213.4235033509)
Panneau interdit ,1.21848,6.170444,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302871.0257476307 682375.351726271)
Panneau ,1.213791,6.170002,True,Campus Sud,Rectangle,Routier,indication,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302351.9292672952 682328.2312664721)
Panneau interdit ,1.213714,6.17001,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:12,,2024-07-30 12:12:12,POINT (302343.3484303494 682329.1071005489)
Panneau d'information ,1.213604,6.169991,True,Campus Sud,Carré,Routier,indication,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302331.2073972767 682327.102079966)
Panneau indiquant ,1.213604,6.170018,True,Campus Sud,Carré,Routier,indication,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302331.204350675 682330.0482532155)
Panneau indiquant ,1.213699,6.170102,True,Campus Sud,Carré,Routier,indication,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302341.72821564454 682339.2925127426)
Panneau ,1.213599,6.170403,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302330.77791420376 682372.6885567304)
Panneau  obligatoire ,1.213602,6.170417,True,Campus Sud,Cercle,Routier,Obligation,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302331.12909316714 682374.1403526962)
Panneau ,1.213723,6.170583,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302344.5364524423 682392.4912331047)
Panonceau ,1.214838,6.173309,True,Campus Sud,Rectangle,Routier,indication,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302468.9560618637 682693.6027490133)
Cédez le passage ,1.213877,6.173128,True,Campus Sud,Triangle,Routier,Danger,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302362.5330941828 682673.9427585335)
Panneau ,1.214261,6.173162,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302405.1048147096 682677.515270316)
panneau 34,1.214805,6.173308,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:13,,2024-07-30 12:12:13,POINT (302465.31047070416 682693.5210742254)
